Fecha_Hora,Escenario,CPU_Porcentaje,RAM_Porcentaje
2026-06-21 21:43:46,PROYECTO TI,100,8

2026-06-21 21:46:26,PROYECTO TI,100,8

Fecha_Hora,Escenario,CPU_Porcentaje,RAM_Porcentaje
2026-06-21 21:55:24,PROYECTO TI,100,9

2026-06-21 21:55:34,PROYECTO TI,50,9

2026-06-21 21:55:45,PROYECTO TI,100,9

2026-06-21 21:56:17,Desconocido,100,9

2026-06-21 21:56:31,Desconocido,50,9

2026-06-21 21:57:09,Desconocido,100,10

Fecha_Hora,Escenario,CPU_Porcentaje,RAM_Porcentaje
2026-06-21 22:10:26,Desconocido,33,8

2026-06-21 22:15:11,Desconocido,100,8

Fecha_Hora,Escenario,CPU_Porcentaje,RAM_Porcentaje
2026-06-21 22:15:42,PROYECTO TI,33,8

Fecha_Hora,Escenario,CPU_Porcentaje,RAM_Porcentaje
2026-06-21 22:20:13,2. Limpieza Datos,100,8

2026-06-21 22:20:39,6. Participar (Celular),33,8

2026-06-21 22:22:25,5. Nube (Proyector),100,8

Fecha_Hora,Escenario,CPU_Porcentaje,RAM_Porcentaje
2026-06-23 11:28:17,1. Recolección de datos,50,7

Fecha_Hora,Escenario,CPU_Porcentaje,RAM_Porcentaje
2026-06-24 08:12:33,Inicio,25,7

2026-06-24 08:26:44,3. Predicción IA,100,7

Fecha_Hora,Escenario,CPU_Porcentaje,RAM_Porcentaje
2026-06-24 08:44:48,5. Nube (Proyector),50,7

Fecha_Hora,Escenario,CPU_Porcentaje,RAM_Porcentaje
2026-06-28 11:41:03,6. Participar (Celular),100,7

2026-06-28 11:41:08,6. Participar (Celular),50,7

2026-06-28 11:41:13,6. Participar (Celular),67,7

2026-06-28 11:41:18,6. Participar (Celular),100,7

2026-06-28 11:41:23,6. Participar (Celular),100,7

2026-06-28 11:41:28,6. Participar (Celular),100,7

2026-06-28 11:41:33,6. Participar (Celular),100,7

2026-06-28 11:41:38,6. Participar (Celular),67,7

2026-06-28 11:41:43,6. Participar (Celular),50,7

2026-06-28 11:41:48,6. Participar (Celular),100,7

2026-06-28 11:41:53,6. Participar (Celular),50,7

2026-06-28 11:41:58,6. Participar (Celular),50,7

2026-06-28 11:42:03,6. Participar (Celular),100,7

2026-06-28 11:42:08,6. Participar (Celular),100,7

2026-06-28 11:42:13,6. Participar (Celular),100,7

2026-06-28 11:42:18,6. Participar (Celular),100,7

2026-06-28 11:42:23,6. Participar (Celular),100,7

2026-06-28 11:42:28,6. Participar (Celular),50,7

2026-06-28 11:42:33,6. Participar (Celular),100,7

2026-06-28 11:42:38,6. Participar (Celular),100,7

2026-06-28 11:42:43,6. Participar (Celular),50,7

2026-06-28 11:42:48,6. Participar (Celular),100,7

2026-06-28 11:42:53,6. Participar (Celular),100,7

2026-06-28 11:42:58,6. Participar (Celular),100,7

2026-06-28 11:43:03,6. Participar (Celular),100,7

2026-06-28 11:43:08,6. Participar (Celular),100,7

2026-06-28 11:43:13,6. Participar (Celular),100,7

2026-06-28 11:43:18,6. Participar (Celular),100,7

2026-06-28 11:43:23,6. Participar (Celular),100,7

2026-06-28 11:43:28,6. Participar (Celular),50,7

2026-06-28 11:43:33,6. Participar (Celular),100,7

2026-06-28 11:43:38,6. Participar (Celular),100,7

2026-06-28 11:43:43,6. Participar (Celular),50,7

2026-06-28 11:43:48,6. Participar (Celular),50,7

2026-06-28 11:43:53,6. Participar (Celular),100,7

2026-06-28 11:43:58,6. Participar (Celular),100,7

2026-06-28 11:44:03,6. Participar (Celular),50,7

2026-06-28 11:44:08,6. Participar (Celular),100,7

2026-06-28 11:44:13,6. Participar (Celular),100,7

2026-06-28 11:44:18,6. Participar (Celular),100,7

2026-06-28 11:44:23,6. Participar (Celular),100,7

2026-06-28 11:44:28,6. Participar (Celular),100,7

Fecha_Hora,Escenario,CPU_Porcentaje,RAM_Porcentaje
2026-06-29 15:04:43,1. Recolección de datos,100,7

2026-06-29 15:04:48,1. Recolección de datos,100,7

2026-06-29 15:04:53,1. Recolección de datos,100,7

2026-06-29 15:04:58,1. Recolección de datos,100,7

2026-06-29 15:05:03,1. Recolección de datos,50,7

2026-06-29 15:05:08,1. Recolección de datos,100,7

2026-06-29 15:05:13,1. Recolección de datos,100,7

2026-06-29 15:05:18,1. Recolección de datos,100,7

2026-06-29 15:05:23,1. Recolección de datos,100,7

2026-06-29 15:05:28,1. Recolección de datos,100,7

2026-06-29 15:05:33,1. Recolección de datos,100,7

2026-06-29 15:05:38,1. Recolección de datos,100,7

2026-06-29 15:05:43,1. Recolección de datos,50,7

2026-06-29 15:05:48,1. Recolección de datos,100,7

2026-06-29 15:05:53,1. Recolección de datos,100,7

2026-06-29 15:05:58,1. Recolección de datos,50,7

2026-06-29 15:06:03,1. Recolección de datos,100,7

2026-06-29 15:06:08,1. Recolección de datos,33,7

2026-06-29 15:06:13,1. Recolección de datos,50,7

2026-06-29 15:06:18,1. Recolección de datos,100,7

2026-06-29 15:06:23,1. Recolección de datos,100,7

2026-06-29 15:06:28,1. Recolección de datos,100,7

2026-06-29 15:06:33,1. Recolección de datos,50,7

2026-06-29 15:06:38,1. Recolección de datos,50,7

2026-06-29 15:06:43,1. Recolección de datos,100,7

2026-06-29 15:06:48,1. Recolección de datos,50,7

2026-06-29 15:06:53,1. Recolección de datos,50,7

2026-06-29 15:06:58,1. Recolección de datos,100,7

2026-06-29 15:07:03,1. Recolección de datos,100,7

2026-06-29 15:07:08,1. Recolección de datos,83,7

2026-06-29 15:07:13,1. Recolección de datos,100,7

2026-06-29 15:07:18,1. Recolección de datos,100,7

2026-06-29 15:07:23,1. Recolección de datos,100,7

2026-06-29 15:07:28,1. Recolección de datos,100,7

2026-06-29 15:07:33,1. Recolección de datos,100,7

2026-06-29 15:07:38,1. Recolección de datos,100,7

2026-06-29 15:07:43,1. Recolección de datos,100,7

2026-06-29 15:07:48,1. Recolección de datos,50,7

2026-06-29 15:07:53,1. Recolección de datos,100,7

2026-06-29 15:07:58,1. Recolección de datos,50,7

2026-06-29 15:08:03,1. Recolección de datos,100,7

2026-06-29 15:08:08,1. Recolección de datos,100,7

2026-06-29 15:08:13,1. Recolección de datos,100,7

2026-06-29 15:08:18,1. Recolección de datos,100,7

2026-06-29 15:08:23,1. Recolección de datos,100,7

2026-06-29 15:08:28,1. Recolección de datos,100,7

2026-06-29 15:08:33,1. Recolección de datos,67,7

2026-06-29 15:08:38,1. Recolección de datos,50,7

2026-06-29 15:08:43,1. Recolección de datos,100,7

2026-06-29 15:08:48,1. Recolección de datos,100,7

